f,S_real,S_ER,S_configuracion
0.2655367231638418,0.45344632768361587,0.5062146892655367,0.435819209039548
0.2711864406779661,0.44440677966101694,0.4981920903954802,0.4288135593220339
0.2768361581920904,0.43604519774011297,0.4905084745762712,0.42259887005649716
0.2824858757062147,0.42677966101694914,0.4831638418079096,0.41728813559322037
0.288135593220339,0.4190395480225989,0.47423728813559324,0.41163841807909607
0.2937853107344633,0.4084180790960452,0.46485875706214685,0.40463276836158196
0.2994350282485876,0.39875706214689266,0.4564971751412429,0.39943502824858756
0.3050847457627119,0.3935593220338983,0.44881355932203393,0.39581920903954804
0.3107344632768362,0.3857627118644067,0.43920903954802265,0.39039548022598863
0.3163841807909605,0.37870056497175136,0.42655367231638414,0.384180790960452
0.3220338983050847,0.3719774011299435,0.4174011299435028,0.3763841807909605
0.327683615819209,0.3636158192090395,0.40395480225988706,0.36757062146892655
0.3333333333333333,0.3525423728813559,0.3967231638418079,0.36124293785310735
0.3389830508474576,0.3462146892655367,0.387683615819209,0.3527683615819209
0.3446327683615819,0.3373446327683616,0.37841807909604513,0.3463276836158192
0.3502824858757062,0.3296045197740113,0.3693785310734463,0.34011299435028247
0.3559322033898305,0.32056497175141246,0.3522033898305084,0.33186440677966106
0.3615819209039548,0.31175141242937854,0.3461016949152543,0.3235028248587571
0.3672316384180791,0.29802259887005644,0.33853107344632766,0.3178531073446328
0.3728813559322034,0.29011299435028254,0.33073446327683614,0.3125423728813559
0.3785310734463277,0.2826553672316384,0.3169491525423729,0.3071186440677966
0.384180790960452,0.27655367231638417,0.30768361581920906,0.30056497175141245
0.3898305084745763,0.26796610169491525,0.3007909604519774,0.2977401129943503
0.3954802259887006,0.2633898305084746,0.292316384180791,0.2922033898305085
0.4011299435028249,0.2588135593220339,0.2846327683615819,0.2847457627118644
0.4067796610169492,0.2493220338983051,0.2741242937853107,0.27898305084745767
0.4124293785310734,0.24101694915254235,0.2697175141242938,0.27435028248587573
