origen,destino,campus_origen,campus_destino,capa_origen,capa_destino
CP-EADMINA1-D6,MEDADM-1A-A11,Campus Paraiso,Campus Paraiso,agregacion,acceso
CP-EADMINA1-D6,MEDADM-1B-A12,Campus Paraiso,Campus Paraiso,agregacion,acceso
CP-EADMINA1-D6,MEDADM-1C-A13,Campus Paraiso,Campus Paraiso,agregacion,acceso
CP-EADMINA1-D6,MEDADM-1D-A14,Campus Paraiso,Campus Paraiso,agregacion,acceso
CP-EADMINA1-D6,MEDADM-1E-A15,Campus Paraiso,Campus Paraiso,agregacion,acceso
CP-EADMINA1-D6,MEDADM-1H-A18,Campus Paraiso,Campus Paraiso,agregacion,acceso
CPAR-C10,CP-EADMINA1-D6,Campus Paraiso,Campus Paraiso,core,agregacion
ENF-2B-A22,ENF-2B-A122,Campus Paraiso,Campus Paraiso,acceso,acceso
CP-ENFERMERIA-D1,ENF-2B-A22,Campus Paraiso,Campus Paraiso,agregacion,acceso
CP-ENFERMERIA-D1,ENF-3A-A21,Campus Paraiso,Campus Paraiso,agregacion,acceso
CPAR-C10,CP-ENFERMERIA-D1,Campus Paraiso,Campus Paraiso,core,agregacion
CP-INVESTIGACION-D5,CENDIA-0A-A19,Campus Paraiso,Campus Paraiso,agregacion,acceso
CP-INVESTIGACION-D5,INV-1A-A161,Campus Paraiso,Campus Paraiso,agregacion,acceso
CP-INVESTIGACION-D5,INV-1A-A61,Campus Paraiso,Campus Paraiso,agregacion,acceso
INV-1B-A62,INV-1B-A162,Campus Paraiso,Campus Paraiso,acceso,acceso
CP-INVESTIGACION-D5,INV-1B-A62,Campus Paraiso,Campus Paraiso,agregacion,acceso
CPAR-C10,CP-INVESTIGACION-D5,Campus Paraiso,Campus Paraiso,core,agregacion
ODO-0B-A52,ODO-0B-A152,Campus Paraiso,Campus Paraiso,acceso,acceso
CP-ODONTOLOGIA-D4,ODO-0B-A52,Campus Paraiso,Campus Paraiso,agregacion,acceso
CP-ODONTOLOGIA-D4,ODO-0C-A154,Campus Paraiso,Campus Paraiso,agregacion,acceso
ODO-0C-A53,ODO-0C-A153,Campus Paraiso,Campus Paraiso,acceso,acceso
ODO-0C-A53,ODO-0C-A54,Campus Paraiso,Campus Paraiso,acceso,acceso
CP-ODONTOLOGIA-D4,ODO-0C-A53,Campus Paraiso,Campus Paraiso,agregacion,acceso
CP-ODONTOLOGIA-D4,ODO-1A-A151,Campus Paraiso,Campus Paraiso,agregacion,acceso
